ClassTissuePost,ClassTissuePre,ClassTissueFlair,ClassTumorPost,ClassTumorPre,ClassTumorFlair,ClassEdemaPost,ClassEdemaPre,ClassEdemaFlair
0.71050614,0.54663646,0.2569938,1.4262815,1.2890782,1.8361224,0.91717213,0.9607316,1.7530912
1.150297,1.0819083,1.0122294,1.6836017,1.1260341,1.2535874,1.1284624,1.1308157,1.4112939
1.3458301,0.6517352,0.48784056,1.8378838,1.1478627,1.1546161,0.933372,1.1014682,1.6245351
0.53166145,0.96227413,0.31662804,1.2756287,1.1588376,1.2543648,1.0474008,1.1804105,1.2331469
0.953508,0.8313499,0.91265595,1.9133866,0.8785932,0.9537819,1.1269922,1.1751119,1.3499067
0.13218205,0.23915601,0.06888216,1.3139191,1.175985,1.2288057,1.1239678,1.2377719,1.2831025
0.1521731,0.19829029,0.13793781,1.4623355,1.8325007,2.037111,0.90182805,1.0537997,1.6507748
0.52557725,0.23368609,0.09582912,1.8262161,0.71495664,0.6557847,0.8639657,1.0367067,1.6090595
0.20481181,0.23267528,0.022042075,1.5125511,1.1459733,1.0495135,0.9930208,1.048458,1.3356481
0.0036505633,0.2208389,0.023715572,1.4750733,1.1551253,1.3856927,1.0280488,1.183883,1.3099972
1.0262086,1.1435698,1.0933644,1.6327606,0.9085546,1.0221484,0.84417886,1.0215073,1.6460469
0.07348127,0.062257726,0.14346795,1.8552166,1.188581,1.4898355,1.0754403,1.1063923,1.0551527
1.1484469,0.8416435,0.46518925,2.427899,1.2451555,1.7252315,0.85447353,1.0315449,1.6832631
0.9963651,1.1318667,1.0504448,1.4428359,1.8491658,1.8593569,0.85292274,0.9518596,1.638758
1.0819005,0.9599755,0.85124683,1.2448286,1.1673458,0.9497346,1.118212,1.1866417,1.307612
0.9850496,1.1900952,1.0444978,1.9444981,0.92335755,1.192841,1.0552542,1.054351,1.346223
0.36761943,0.5077706,0.32433546,1.4049983,1.2354933,1.9450941,1.0404284,1.1506491,1.281205
0.03459488,0.3059587,0.1869569,1.4626966,1.0721822,1.5199206,1.079747,1.1851571,1.2445973
0.9987865,0.8285318,0.6031963,1.8177392,1.1359289,1.5550758,1.0925562,1.17796,1.5604398
0.67720413,0.58216524,0.2625169,1.8213338,0.9733319,1.0571033,0.84446234,1.0269414,1.6278793
0.94332546,1.1248704,1.1504456,1.3820373,1.0350597,1.2322724,1.0327886,1.1470351,1.5459782
0.030208083,0.49094084,0.16863753,1.6166633,1.1707578,1.1855059,0.77096045,1.0478374,1.2756623
1.0507219,0.8020499,0.23664878,1.0028718,1.100664,1.185546,1.0613517,1.1342436,1.3021975
1.0388807,1.1314688,1.028674,2.0024402,1.5122987,1.8045145,0.9028574,1.0219672,0.9242827
0.21364684,0.35879406,1.0336369,1.7574663,1.3323342,1.5853395,0.98187244,1.0549792,1.5897418
1.21114,1.0225946,0.27547815,1.3374436,1.0730284,1.4077754,1.0965807,1.0891215,1.43096
0.6453227,0.43485042,0.4104705,1.5164973,1.2581561,1.2235578,0.8969432,1.0774564,1.5360867
1.1783148,1.1768112,1.0315318,2.0116,1.1235436,1.206246,1.0215713,1.1160523,1.6969185
0.69552964,0.23508595,0.5485048,1.1179148,0.91405237,1.1282763,1.1605396,1.2207961,1.5248874
0.5859722,0.58895487,0.39939478,1.8728637,1.1897975,1.2146587,0.8894672,0.96209264,1.6575965
0.2306509,0.11000707,0.3147782,1.4731191,0.92859375,1.1626077,0.8297877,1.0038177,1.6551921
1.0562764,1.0711292,1.2133974,1.8915424,1.2137738,1.6663498,1.0975556,1.082281,1.5768332
0.81681293,1.073889,1.1468357,1.5528116,1.3310244,1.9800911,1.1061189,1.0256283,1.6249403
1.0164877,1.1485397,1.0490887,1.588478,1.3732929,1.4714578,1.0170287,1.0562372,1.1980062
0.024882222,0.048486475,0.040124346,1.9393475,1.1967129,1.9020314,1.1066767,1.1004777,1.1380998
0.15097582,0.41527745,0.07531761,1.1484864,1.1238108,2.1217499,0.89231855,0.97425425,1.5955259
0.9611739,0.84009594,0.49526146,1.8398196,0.98318005,1.0238476,1.0411513,1.1033949,1.576425
0.99384516,1.1095188,0.9538633,1.0299629,1.0084817,1.1455692,0.8866203,1.0168297,1.7287034
0.7531529,0.4839048,0.1279637,1.5740885,1.4310067,2.0466986,0.972192,1.0573732,1.5684142
0.099235296,0.22913548,0.2125814,1.7433946,1.7981771,1.8002774,1.1152405,1.1866546,1.3989567
1.0240496,1.1644334,1.10629,1.6600965,1.1178671,1.3450127,1.0618429,1.1014572,1.1896098
0.962643,1.0009105,1.2616686,1.2781668,1.0502949,1.4820617,0.62384963,0.6993089,1.0693315
0.021037998,0.34965494,0.056433357,1.4306227,1.7887493,2.0572758,0.91706246,0.9552844,1.7026205
0.9613633,0.6774895,0.31403798,1.0872905,0.9885801,0.69020194,0.9187815,1.0889384,1.0743372
0.008725004,0.048114937,0.031913646,1.7485144,1.3687531,1.5728501,1.1439848,1.2041333,1.2344307
0.9271892,0.7912357,0.17443042,1.9256127,0.9283205,1.1973122,0.9602398,1.1821605,1.3465395
1.0939327,1.0250866,0.7170663,1.2104275,1.132325,1.2282298,0.9923418,1.0377533,1.4927915
0.015604197,0.14940234,0.048219956,2.1665416,0.9433779,1.2150664,0.8978876,1.0621142,1.7319205
0.110816784,0.8081078,0.57300323,1.9003215,1.1197006,1.9584576,0.9345948,1.0729806,1.6656989
1.0731992,1.1278582,1.1255018,1.2802262,1.3248487,1.8534015,0.9764768,1.1457708,1.0170622
1.1343712,1.0198754,0.8453952,1.6117848,1.1043851,1.8200035,1.0601779,1.1250726,1.4388102
0.17195366,0.08675125,0.09645769,1.640142,0.8992987,1.1086522,0.9518476,1.0494921,1.5914894
0.18816721,0.18983309,0.26113632,1.4572765,1.1232026,1.3998934,1.0966685,1.1141648,1.1749581
0.8351289,0.90987194,1.1174998,1.9380535,1.2758343,1.3377413,1.0539792,1.1785331,1.4769772
1.1506011,1.1933957,1.0067276,1.2852261,1.568461,2.1757293,1.1424452,1.2170728,1.3938
1.0185783,1.0983924,1.0395615,1.6196656,1.1546261,1.5172542,0.9677856,1.1165895,1.6447908
1.5630498,1.0723203,0.88258123,0.81609845,0.83361375,1.0089821,0.91825527,1.0527871,1.6576118
0.29946744,0.31584904,0.061044347,1.6672548,0.81974185,0.84247625,0.80208653,1.0427868,1.6156987
0.4775357,0.42304203,0.11591118,1.8537153,1.0626683,0.9607236,1.0704838,1.1410937,1.4030991
0.96400917,1.115711,1.001772,1.7685152,1.6796552,1.6861184,1.0022002,1.151986,1.5607696
0.19622692,0.83338565,0.34215766,1.3318542,0.74210894,0.6934405,1.1470343,1.1872337,1.2998813
0.17749228,0.022959236,0.06593086,1.3174412,1.1833711,1.2707773,0.8409123,1.1056646,1.1322324
0.94550085,1.090185,1.1617876,0.9670356,1.0024738,1.1381605,1.2090954,1.1560508,1.1787999
0.97834986,0.7593142,0.63125545,1.578078,1.6315012,1.70494,1.234004,1.190329,1.2407372
0.93400145,1.0185797,1.0586748,1.8879188,0.9010013,1.1043749,0.9168246,1.100735,1.4815055
0.16086341,1.287813,0.7820298,1.5834157,1.254771,1.4744946,1.0733668,1.1715633,1.0621676
0.015579566,0.036412958,0.0630312,1.8200608,1.7708994,1.8782849,0.8973997,1.0220506,1.7883651
0.92192364,1.1128271,1.1339657,1.0869025,0.8907562,1.087802,1.0925045,1.210722,1.2134705
0.995946,1.1094881,0.9710554,1.8864839,1.0412731,1.142497,1.1020725,1.0940821,1.3704325
1.0110935,1.1288399,1.0769061,1.3872057,1.1608306,1.7286496,1.0582981,1.1612756,1.3794376
0.17370868,0.78926677,0.42232177,1.6459788,1.2311962,1.5329386,0.8626657,1.038845,1.6887172
1.0281132,1.1182604,0.9884501,1.3569854,1.0961981,1.2949773,0.8285949,1.0076654,1.7532942
0.3998779,0.6298225,0.24361707,1.3535202,1.0547426,1.3225095,1.0127344,1.1052766,1.3677872
0.58004254,0.33047682,0.0799461,1.4126953,0.95400476,1.1384112,0.923647,1.1229997,1.2592471
0.0,0.04390463,0.0,1.8279049,1.1448636,1.789115,1.0595765,1.1472276,1.1109927
1.0555505,1.0971786,1.0226477,1.5918227,1.2171147,1.440953,1.1016413,1.1470739,1.3890581
1.0865537,1.1319402,1.1285665,1.8757327,0.94669926,1.064443,0.99477637,1.1086386,1.5931525
1.1617066,1.1222335,0.9771676,1.4257655,1.2090933,1.4466162,1.1511335,1.1247486,1.3040011
0.019452436,0.0662331,0.03772165,1.2766712,1.3715022,2.2429774,0.9349943,1.0468802,1.7881542
0.9314433,1.1173495,1.0726652,1.8650188,1.1251,1.4237118,1.0706928,1.1176829,1.1098546
0.11673813,0.16329546,0.06904517,1.2281508,1.0561211,1.1732657,0.9984024,1.089317,1.0649838
0.9391608,1.1001852,0.9896884,1.6369108,1.200692,1.4040759,1.0300952,1.1435544,1.5001309
0.958326,1.0574424,0.8706168,1.924379,1.1216694,1.8047081,0.86713916,1.0089235,1.6107697
1.0423399,0.9993393,1.1093508,1.5699893,1.1582791,1.2441438,0.94648063,1.0383215,1.6556889
1.0660995,1.0613846,1.0115937,1.5639869,1.4021782,2.5577734,1.0843604,1.1468337,1.4667766
1.0030539,1.1130569,1.1393994,1.6627524,1.1338441,1.2809387,0.91643035,1.0359612,1.6899077
0.13517894,0.1627788,0.19180699,1.5363419,1.3012004,1.3712586,0.98727614,1.1359893,1.5486748
1.1012906,1.2113951,1.1256905,1.8233476,1.265203,1.4277161,1.0915848,1.0710399,1.3417394
0.7150433,0.75281614,0.38873684,1.0069793,1.0862023,1.3249859,1.0122483,1.0779682,1.4753213
0.74126077,0.66189003,0.4810242,1.3517232,1.0942965,1.5551268,1.1870464,1.1540227,1.3214946
0.2702229,0.28996232,0.07238753,1.3730103,1.0527879,1.2575527,1.1620355,1.1542805,1.2653179
0.5807969,0.36978924,0.17205736,1.605662,0.7519379,1.1346179,0.8891118,1.0296227,1.7182596
0.6221011,0.62397563,0.27570882,1.683891,0.888316,1.1176958,1.1691709,1.187274,1.3603526
1.0298017,0.96580976,1.2863376,1.5478725,1.0215652,1.3562465,0.84512204,0.9117943,1.6952604
0.85475594,0.41193274,0.1608618,1.5860577,1.0410419,1.7958189,1.033004,1.108489,1.56252
1.0116901,0.9424189,1.052551,1.3288909,1.0118114,1.1640176,0.99189484,1.1419935,1.0062814
0.21958202,0.19354178,0.09687801,1.3875916,1.1751381,1.3298254,0.9714516,1.0507395,1.6523026
0.83403116,0.8807057,0.6467082,1.558244,1.3191643,1.5717504,0.89263904,1.0500983,1.6289169
0.3638492,0.744288,0.063633144,1.683532,1.9843563,1.827378,0.9369478,1.0654633,1.1095278
0.45062548,0.1940724,0.049154554,1.1557317,0.9161741,1.2114916,1.1388842,1.1570368,1.2416612
1.0114121,1.0914767,1.1274242,1.3208574,0.7489366,0.88795406,0.80359954,0.7959455,0.5674908
0.041679453,0.8476152,0.49505875,1.7464906,1.09069,1.6291063,0.9944589,1.0779605,1.3066598
0.36580992,0.31023315,0.012134845,1.3700013,1.0890847,1.8349227,1.0017407,1.0477656,1.5879109
0.12784079,0.8841262,0.621798,1.7192589,0.938709,0.98136544,0.9586679,1.1112155,1.000061
0.9800975,0.67034626,0.4329144,1.9598181,1.4087849,1.6938779,0.9791911,1.0658436,1.6667986
1.0041952,1.1339692,1.166748,1.6413413,0.98142177,1.1172307,1.0402184,1.1370237,1.4905777
1.086652,1.0904706,1.1180708,1.9363558,1.1722916,1.4440498,1.0530996,1.1168216,1.5736272
0.54856235,0.34767497,0.116245255,1.5298108,0.6530966,0.4788355,0.9602629,1.0813465,1.5076652
0.10798277,0.32803288,0.25323218,1.3693805,1.153932,1.3636397,1.2020153,1.1655687,1.2657161
0.39822748,0.5795383,0.2501925,1.5993156,1.1146938,1.5195916,0.82557654,1.059988,1.7227519
1.2491547,1.0544134,0.2979931,1.5292758,1.1891377,1.4470341,0.884835,1.012544,1.7444667
0.14199227,1.5388032,0.9247989,1.7268143,0.8818742,1.0321811,1.0491834,1.1735839,1.1574125
0.06264958,1.0426922,0.594318,2.0832286,1.1367794,1.4608194,0.83962005,1.0063893,1.6710719
0.33474937,0.2965951,0.21053869,1.7522237,0.92113465,1.0957173,1.0587895,1.092882,1.271873
0.6251498,0.57989794,0.1620803,1.1854337,1.0716759,1.2615974,1.014697,1.0604194,1.3745869
0.08569249,0.20815259,0.13759077,2.3531814,1.0397007,1.1711874,1.0410653,1.0936286,1.3310182
0.056190774,0.05961254,0.0023939502,2.0302672,1.105307,1.2486112,1.0146714,1.257774,1.2328414
0.7907929,0.55095047,0.27032298,2.2420514,1.2508875,1.5460968,0.8190912,0.9525078,1.7026893
